enemy_team_id,mission,leader,effect_ext,ai_name,member
50,进阶训练Ⅳ,胡蜂,,待机,胡蜂*5
51,追踪日志,侦查者,,待机,侦查者*5
52,追踪日志,兵蚁,,待机,侦查者*3|兵蚁*3
53,追踪日志,兵蚁,,待机,兵蚁*10
54,追踪日志,兵蚁,,待机,侦查者*4|兵蚁*6
55,紧急支援,兵蚁,,待机,兵蚁*10
56,紧急支援,巡游者,,待机,侦查者*2|巡游者*3
57,紧急支援,切割者,,待机,切割者*6
58,紧急支援,切割者,,待机,切割者*4|胡蜂*1
59,调查敌情,巡游者,,待机,侦查者*4|巡游者*6
60,调查敌情,切割者,,待机,切割者*5
61,调查敌情,胡蜂,,待机,切割者*3|胡蜂*3
62,调查敌情,巡游者,,待机,巡游者*10
63,调查敌情,胡蜂,,待机,侦查者*6|胡蜂*2
64,调查敌情,胡蜂,,待机,胡蜂*4
65,调查敌情,切割者,,待机,侦查者*4|切割者*3
66,调查敌情,胡蜂,,待机,胡蜂*5
67,采集数据,胡蜂,,待机,切割者*2|胡蜂*3
68,采集数据,侦查者,,待机,侦查者*6|巡游者*4
69,采集数据,胡蜂,,待机,切割者*2|胡蜂*3
70,采集数据,胡蜂,,待机,胡蜂*5
71,采集数据,切割者,,待机,切割者*3|巡游者*4
72,额外委托,切割者,,待机,切割者*5
73,额外委托,巡游者,,待机,侦查者*4|巡游者*6|胡蜂*3
74,额外委托,兵蚁,,待机,兵蚁*30
75,额外委托,胡蜂,,待机,胡蜂*4
76,额外委托,兵蚁,,待机,兵蚁*15|切割者*3
77,额外委托,切割者,,待机,切割者*6
78,额外委托,切割者,,待机,切割者*4|猎鸥*2|胡蜂*2
79,终止作战,切割者,,待机,切割者*4|胡蜂*2
80,终止作战,巡游者,,待机,切割者*3|巡游者*12
81,终止作战,胡蜂,,待机,胡蜂*4
82,终止作战,行裁者,,待机,胡蜂*4|行裁者*1
83,终止作战,胡蜂,,待机,胡蜂*5
84,终止作战,兵蚁,,待机,兵蚁*40
85,终止作战,胡蜂,,待机,巡游者*8|胡蜂*3
86,战地样本Ⅰ,切割者,,待机,切割者*2|胡蜂*3
87,战地样本Ⅰ,胡蜂,,待机,切割者*3|胡蜂*2
88,战地样本Ⅰ,切割者,,待机,切割者*3|猎鸥*2
89,战地样本Ⅰ,侦查者,,待机,侦查者*6|巡游者*6
90,战地样本Ⅰ,猎鸥,,待机,猎鸥*3|胡蜂*3
91,战地样本Ⅰ,胡蜂,,待机,巡游者*12|猎鸥*2|胡蜂*2
92,战地样本Ⅰ,胡蜂,,待机,胡蜂*5
93,战地样本Ⅰ,猎鸥,,待机,猎鸥*2|胡蜂*2
94,战地样本Ⅱ,侦查者,,待机,侦查者*10|巡游者*10
95,战地样本Ⅱ,胡蜂,,待机,胡蜂*5
96,战地样本Ⅱ,胡蜂,,待机,切割者*3|胡蜂*2
97,战地样本Ⅱ,切割者,,待机,切割者*5
98,战地样本Ⅱ,胡蜂,,待机,胡蜂*4
99,战地样本Ⅱ,猎鸥,,待机,猎鸥*2|胡蜂*3
100,战地样本Ⅱ,切割者,,待机,切割者*3|胡蜂*2
101,战地样本Ⅲ,猎鸥,,待机,切割者*3|猎鸥*2
102,战地样本Ⅲ,兵蚁,,待机,兵蚁*30
103,战地样本Ⅲ,猎鸥,,待机,切割者*3|猎鸥*3|胡蜂*2
104,战地样本Ⅲ,猎鸥,,待机,猎鸥*2|胡蜂*2
105,战地样本Ⅲ,胡蜂,,待机,侦查者*4|胡蜂*3
106,战地样本Ⅲ,巡游者,,待机,侦查者*6|巡游者*9
107,战地样本Ⅲ,胡蜂,,待机,切割者*6|胡蜂*2
108,战地样本Ⅲ,胡蜂,,待机,猎鸥*2|胡蜂*3
109,战地样本Ⅲ,猎鸥,,待机,猎鸥*3|胡蜂*3
110,战地样本Ⅳ,猎鸥,,待机,切割者*6|猎鸥*3
111,战地样本Ⅳ,切割者,,待机,侦查者*6|切割者*6
112,战地样本Ⅳ,兵蚁,,待机,兵蚁*30
113,战地样本Ⅳ,猎鸥,,待机,猎鸥*4|胡蜂*3
114,战地样本Ⅳ,胡蜂,,待机,切割者*6|胡蜂*3
115,战地样本Ⅳ,行裁者,,待机,猎鸥*2|胡蜂*3|行裁者*1
116,战地样本Ⅳ,巡游者,,待机,侦查者*15|兵蚁*15|巡游者*15
117,打通入口,胡蜂,,待机,胡蜂*5
118,打通入口,胡蜂,,待机,切割者*4|胡蜂*3
119,打通入口,切割者,,待机,切割者*10
120,截获情报,侦查者,,待机,侦查者*8|巡游者*8
121,截获情报,切割者,,待机,侦查者*6|切割者*6
122,截获情报,猎鸥,,待机,猎鸥*4|胡蜂*4
123,截获情报,切割者,,待机,切割者*6|巡游者*12
124,秘密支援,护卫者,,待机,护卫者*4|猎鸥*2|胡蜂*2
125,秘密支援,兵蚁,,待机,兵蚁*30
126,秘密支援,切割者,,待机,切割者*10
127,秘密支援,胡蜂,,待机,侦查者*4|巡游者*4|胡蜂*4
128,防御作战,胡蜂,,待机,胡蜂*5
129,防御作战,护卫者,,待机,护卫者*4|猎鸥*2|胡蜂*2
130,防御作战,胡蜂,,待机,切割者*4|胡蜂*6
131,防御作战,护卫者,,待机,护卫者*3|猎鸥*4|胡蜂*2
132,防御作战,胡蜂,,待机,切割者*4|胡蜂*4
133,快速反击,切割者,,待机,侦查者*12|切割者*8
134,快速反击,兵蚁,,待机,兵蚁*24
135,快速反击,护卫者,,待机,护卫者*2|猎鸥*4
136,快速反击,护卫者,,待机,切割者*4|护卫者*4|胡蜂*6
137,快速反击,切割者,,待机,切割者*12
138,禁止狩猎,护卫者,,待机,护卫者*3|胡蜂*6
139,禁止狩猎,猎手,,待机,侦查者*8|巡游者*8|护卫者*2|猎手*1|猎鸥*4
140,禁止狩猎,猎鸥,,待机,护卫者*2|猎鸥*6
141,禁止狩猎,胡蜂,,待机,胡蜂*10
142,禁止狩猎,猎鸥,,待机,护卫者*3|猎鸥*8
143,禁止狩猎,切割者,,待机,切割者*6|胡蜂*4
144,禁止狩猎,胡蜂,,待机,侦查者*9|巡游者*6|胡蜂*6
145,回收数据Ⅰ,胡蜂,,待机,胡蜂*8
146,回收数据Ⅱ,切割者,,待机,切割者*10
147,回收数据Ⅱ,猎鸥,,待机,猎鸥*4|胡蜂*6
148,回收数据Ⅱ,猎鸥,,待机,猎鸥*10
149,回收数据Ⅱ,龙骑兵,,待机,胡蜂*9|龙骑兵*3
150,回收数据Ⅱ,切割者,,待机,侦查者*8|切割者*6
151,回收数据Ⅲ,切割者,,待机,切割者*10
152,回收数据Ⅲ,猎鸥,,待机,切割者*4|护卫者*3|猎鸥*2
153,回收数据Ⅲ,猎鸥,,待机,猎鸥*6|胡蜂*6
154,回收数据Ⅲ,龙骑兵,,待机,护卫者*2|猎鸥*6|龙骑兵*2
155,回收数据Ⅲ,胡蜂,,待机,切割者*8|胡蜂*8
156,回收数据Ⅳ,胡蜂,,待机,切割者*4|巡游者*16|胡蜂*4
157,回收数据Ⅳ,猎手,,待机,劫豹*1|猎手*1|猎鸥*4
158,回收数据Ⅳ,猎鸥,,待机,猎鸥*6|胡蜂*4
159,回收数据Ⅳ,猎鸥,,待机,切割者*4|劫豹*1|猎鸥*2|胡蜂*4
160,协助佣兵,护卫者,,待机,护卫者*2|胡蜂*8
161,协助佣兵,胡蜂,,待机,胡蜂*12
162,协助佣兵,胡蜂,,待机,护卫者*2|猎鸥*2|胡蜂*4
163,协助佣兵,猎鸥,,待机,猎鸥*3|胡蜂*6
164,切断增援,胡蜂,,待机,胡蜂*10
165,切断增援,龙骑兵,,待机,护卫者*4|龙骑兵*6
166,切断增援,胡蜂,,待机,切割者*6|胡蜂*6
167,切断增援,胡蜂,,待机,巡游者*16|胡蜂*8
168,突破阵线,龙骑兵,,待机,兵蚁*25|龙骑兵*3
169,突破阵线,龙骑兵,,待机,护卫者*2|龙骑兵*3
170,突破阵线,猎鸥,,待机,护卫者*6|猎鸥*8
171,突破阵线,胡蜂,,待机,胡蜂*15
172,搜索同伴,切割者,,待机,切割者*15
173,搜索同伴,猎鸥,,待机,护卫者*2|猎鸥*6|胡蜂*4
174,搜索同伴,猎鸥,,待机,切割者*6|劫豹*1|猎鸥*4|胡蜂*6
175,搜索同伴,龙骑兵,,待机,龙骑兵*10
176,搜索同伴,护卫者,,待机,护卫者*4|猎鸥*6|胡蜂*9
177,搜索同伴,切割者,,待机,切割者*15
178,定位坐标,猎鸥,,待机,巡游者*16|猎鸥*8
179,定位坐标,胡蜂,,待机,劫豹*1|猎鸥*4|胡蜂*9
180,定位坐标,猎鸥,,待机,切割者*6|护卫者*4|猎鸥*6
181,定位坐标,龙骑兵,,待机,切割者*12|龙骑兵*3
182,定位坐标,龙骑兵,,待机,劫豹*1|猎鸥*4|龙骑兵*4
183,定位坐标,护卫者,,待机,切割者*6|护卫者*6|猎鸥*8
184,平息干扰,龙骑兵,,待机,龙骑兵*5
185,平息干扰,护卫者,,待机,护卫者*4|猎鸥*8
186,平息干扰,胡蜂,,待机,胡蜂*10
187,平息干扰,护卫者,,待机,护卫者*2|猎鸥*6
188,平息干扰,胡蜂,,待机,兵蚁*24|胡蜂*8
189,平息干扰,猎鸥,,待机,猎鸥*6|胡蜂*6
190,平息干扰,护卫者,,待机,护卫者*4|猎鸥*6
191,平息干扰,猎鸥,,待机,劫豹*1|猎鸥*4|胡蜂*8
192,平息干扰,干扰者,,待机,干扰者*1|猎鸥*6|胡蜂*6
193,平息干扰,护卫者,,待机,护卫者*6|猎鸥*6|胡蜂*4
194,记忆回溯Ⅰ,龙骑兵,,待机,龙骑兵*5
195,记忆回溯Ⅰ,胡蜂,,待机,切割者*6|巡游者*20|胡蜂*6
196,记忆回溯Ⅰ,胡蜂,,待机,胡蜂*15
197,记忆回溯Ⅰ,护卫者,,待机,护卫者*6|猎鸥*12
198,记忆回溯Ⅱ,胡蜂,,待机,胡蜂*10
199,记忆回溯Ⅱ,切割者,,待机,侦查者*20|切割者*12
200,记忆回溯Ⅱ,护卫者,,待机,护卫者*4|猎鸥*8
201,记忆回溯Ⅱ,龙骑兵,,待机,龙骑兵*10
202,记忆回溯Ⅱ,胡蜂,,待机,劫豹*1|猎鸥*4|胡蜂*9
203,记忆回溯Ⅲ,龙骑兵,,待机,龙骑兵*8
204,记忆回溯Ⅲ,切割者,,待机,切割者*15
205,记忆回溯Ⅲ,护卫者,,待机,切割者*9|护卫者*6
206,记忆回溯Ⅲ,胡蜂,,待机,护卫者*6|胡蜂*6
207,记忆回溯Ⅲ,猎鸥,,待机,猎鸥*8|胡蜂*8
208,记忆回溯Ⅲ,龙骑兵,,待机,劫豹*1|猎鸥*4|龙骑兵*3
209,记忆回溯Ⅲ,猎鸥,,待机,劫豹*1|猎鸥*3|胡蜂*9
210,记忆回溯Ⅳ,切割者,,待机,切割者*15
211,记忆回溯Ⅳ,龙骑兵,,待机,猎鸥*6|龙骑兵*5
212,记忆回溯Ⅳ,猎鸥,,待机,劫豹*1|猎鸥*16
213,记忆回溯Ⅳ,护卫者,,待机,护卫者*6|胡蜂*6
214,记忆回溯Ⅳ,兵蚁,,待机,兵蚁*50
215,记忆回溯Ⅳ,胡蜂,,待机,侦查者*10|切割者*4|巡游者*15|胡蜂*6
216,记忆回溯Ⅳ,护卫者,,待机,护卫者*2|猎鸥*8|胡蜂*4
217,记忆回溯Ⅳ,护卫者,,待机,劫豹*1|护卫者*6|猎鸥*4
218,记忆回溯Ⅳ,干扰者,,待机,干扰者*1|龙骑兵*8
219,记忆回溯Ⅳ,龙骑兵,,待机,劫豹*1|龙骑兵*8
220,热身运动,龙骑兵,,待机,猎鸥*6|胡蜂*15|龙骑兵*6
221,热身运动,猎鸥,,待机,猎鸥*15
222,热身运动,胡蜂,,待机,切割者*25|胡蜂*15
223,黑色情报,胡蜂,,待机,胡蜂*25
224,黑色情报,猎鸥,,待机,猎鸥*12|胡蜂*20
225,黑色情报,护卫者,,待机,护卫者*6|胡蜂*20
226,黑色情报,胡蜂,,待机,胡蜂*25
227,黑色情报,护卫者,,待机,护卫者*12|猎鸥*12
228,黑色情报,龙骑兵,,待机,劫豹*1|猎鸥*9|龙骑兵*9
229,黑色情报,胡蜂,,待机,胡蜂*32
230,黑色情报,龙骑兵,,待机,切割者*25|龙骑兵*9
231,黑色情报,护卫者,,待机,切割者*20|护卫者*12
232,黑色情报,切割者,,待机,切割者*25
233,黑色情报,龙骑兵,,待机,胡蜂*12|龙骑兵*8
234,守护据点,切割者,,待机,侦查者*25|切割者*15|巡游者*25
235,守护据点,胡蜂,,待机,兵蚁*25|胡蜂*15
236,守护据点,切割者,,待机,切割者*20
237,守护据点,猎鸥,,待机,侦查者*20|劫豹*1|巡游者*20|猎鸥*9
238,守护据点,切割者,,待机,切割者*20|胡蜂*15
239,守护据点,胡蜂,,待机,胡蜂*25
240,守护据点,胡蜂,,待机,切割者*20|胡蜂*16
241,守护据点,龙骑兵,,待机,护卫者*12|龙骑兵*9
242,守护据点,护卫者,,待机,护卫者*8|猎鸥*15|龙骑兵*6
243,最终挑战,切割者,,待机,切割者*25
244,最终挑战,胡蜂,,待机,胡蜂*20
245,最终挑战,切割者,,待机,切割者*25
246,最终挑战,稻草人,,待机,切割者*20|稻草人*1
247,最终挑战,龙骑兵,,待机,龙骑兵*16
248,最终挑战,护卫者,,待机,护卫者*9|胡蜂*15
249,最终挑战,胡蜂,,待机,胡蜂*25
250,最终挑战,切割者,,待机,切割者*15|猎鸥*9
251,最终挑战,稻草人,,待机,切割者*10|稻草人*1|胡蜂*10|龙骑兵*2
252,最终挑战,护卫者,,待机,护卫者*12|龙骑兵*2
253,最终挑战,龙骑兵,,待机,龙骑兵*12
254,最终挑战,护卫者,,待机,护卫者*9|猎鸥*12
255,最终挑战,胡蜂,,待机,胡蜂*25
256,最终挑战,护卫者,,待机,切割者*20|护卫者*12
257,最终挑战,龙骑兵,,待机,劫豹*1|猎鸥*6|龙骑兵*12
258,最终挑战,切割者,,待机,切割者*20
259,最终挑战,稻草人,,待机,稻草人*2|胡蜂*10
260,最终挑战,切割者,,待机,切割者*25
261,,切割者,,待机,切割者*5
262,,胡蜂,,待机,切割者*2|胡蜂*3
263,,切割者,,待机,切割者*4
264,,胡蜂,,待机,胡蜂*4
265,,兵蚁,,待机,兵蚁*30
266,,切割者,,待机,切割者*5
267,,胡蜂,,待机,胡蜂*5
268,,胡蜂,,待机,巡游者*4|胡蜂*4
269,,切割者,,待机,切割者*4|胡蜂*3
270,,胡蜂,,待机,巡游者*8|胡蜂*4
271,,猎鸥,,待机,猎鸥*4|胡蜂*8
272,,胡蜂,,待机,猎鸥*3|胡蜂*10
273,,切割者,,待机,侦查者*12|切割者*3|巡游者*8
274,,胡蜂,,待机,胡蜂*4
275,,胡蜂,,待机,切割者*5|胡蜂*3
276,,护卫者,,待机,护卫者*3|胡蜂*3
277,,兵蚁,,待机,兵蚁*32
278,,切割者,,待机,切割者*10
279,,护卫者,,待机,护卫者*3|猎鸥*4|胡蜂*2
280,,猎鸥,,待机,猎鸥*4|胡蜂*4
281,,胡蜂,,待机,胡蜂*5
282,,胡蜂,,待机,胡蜂*10
283,,护卫者,,待机,护卫者*2|猎鸥*6
284,,切割者,,待机,切割者*8|巡游者*20
285,,护卫者,,待机,护卫者*3|猎鸥*6
286,,胡蜂,,待机,胡蜂*10
287,,猎鸥,,待机,切割者*8|猎鸥*4
288,,胡蜂,,待机,劫豹*1|护卫者*4|胡蜂*3
289,,巡游者,,待机,侦查者*16|巡游者*16
290,,胡蜂,,待机,猎鸥*4|胡蜂*8
291,,胡蜂,,待机,切割者*6|胡蜂*6
292,,切割者,,待机,兵蚁*25|切割者*6
293,,胡蜂,,待机,胡蜂*8
294,,护卫者,,待机,切割者*9|护卫者*3|胡蜂*9
295,,龙骑兵,,待机,龙骑兵*5
296,,切割者,,待机,切割者*12|龙骑兵*5
297,,胡蜂,,待机,胡蜂*10
298,,护卫者,,待机,护卫者*4|猎鸥*8
299,,切割者,,待机,切割者*12|胡蜂*12
300,,龙骑兵,,待机,护卫者*6|龙骑兵*3
301,,龙骑兵,,待机,护卫者*12|龙骑兵*4
302,,胡蜂,,待机,劫豹*1|胡蜂*6|龙骑兵*4
303,,胡蜂,,待机,胡蜂*25
304,,切割者,,待机,切割者*25
305,,护卫者,,待机,护卫者*9|龙骑兵*12
306,,,,待机,
307,,胡蜂,,待机,胡蜂*25
308,,龙骑兵,,待机,护卫者*8|猎鸥*12|龙骑兵*6
309,,龙骑兵,,待机,护卫者*12|猎鸥*6|龙骑兵*9
310,,工蜂型民用靶机,,待机,工蜂型民用靶机*50
311,,稻草人,,待机,护卫者*5|稻草人*1
312,参加演习,切割者,,待机,切割者*9|巡游者*15
313,参加演习,切割者,,待机,侦查者*20|切割者*9
314,参加演习,胡蜂,,待机,切割者*9|胡蜂*6
315,参加演习,切割者,,待机,切割者*15
316,参加演习,猎鸥,,待机,猎鸥*3|胡蜂*8
317,参加演习,护卫者,,待机,护卫者*3|胡蜂*8
318,参加演习,胡蜂,,待机,胡蜂*10
319,参加演习,猎鸥,,待机,切割者*12|猎鸥*2|胡蜂*4
320,参加演习,龙骑兵,,待机,护卫者*1|猎鸥*3|胡蜂*1|龙骑兵*3
321,参加演习,胡蜂,,待机,切割者*10|胡蜂*4
322,抵挡突袭,猎鸥,,待机,猎鸥*4|胡蜂*8
323,抵挡突袭,胡蜂,,待机,胡蜂*10
324,抵挡突袭,切割者,,待机,侦查者*25|切割者*9
325,抵挡突袭,护卫者,,待机,巡游者*5|护卫者*2|猎鸥*4|胡蜂*2
326,抵挡突袭,胡蜂,,待机,侦查者*15|巡游者*10|胡蜂*6
327,抵挡突袭,猎鸥,,待机,猎鸥*4|胡蜂*8
328,抵挡突袭,护卫者,,待机,护卫者*2|猎鸥*8|胡蜂*4
329,抵挡突袭,侦查者,,待机,侦查者*50
330,抵挡突袭,切割者,,待机,切割者*12|巡游者*15
331,抵挡突袭,猎鸥,,待机,护卫者*2|猎鸥*4|胡蜂*4
332,反戈一击,胡蜂,,待机,切割者*9|胡蜂*9
333,反戈一击,胡蜂,,待机,侦查者*20|胡蜂*9
334,反戈一击,猎鸥,,待机,猎鸥*6|胡蜂*9
335,反戈一击,切割者,,待机,切割者*15
336,反戈一击,胡蜂,,待机,切割者*12|胡蜂*8
337,反戈一击,猎鸥,,待机,兵蚁*25|猎鸥*8
338,反戈一击,护卫者,,待机,护卫者*3|猎鸥*6
339,反戈一击,胡蜂,,待机,切割者*6|胡蜂*9
340,反戈一击,胡蜂,,待机,胡蜂*14
341,反戈一击,猎鸥,,待机,切割者*15|猎鸥*6
342,反戈一击,龙骑兵,,待机,猎鸥*4|胡蜂*9|龙骑兵*3
343,反戈一击,切割者,,待机,切割者*9|巡游者*20
344,保证撤离,切割者,,待机,切割者*15
345,保证撤离,胡蜂,,待机,切割者*9|胡蜂*8
346,保证撤离,切割者,,待机,侦查者*20|切割者*12
347,保证撤离,猎鸥,,待机,猎鸥*6|胡蜂*9
348,保证撤离,护卫者,,待机,护卫者*4|猎鸥*8
349,保证撤离,龙骑兵,,待机,龙骑兵*5
350,保证撤离,胡蜂,,待机,胡蜂*15
351,保证撤离,切割者,,待机,切割者*12
352,保证撤离,猎鸥,,待机,切割者*15|猎鸥*4
353,保证撤离,护卫者,,待机,护卫者*4|胡蜂*12
354,保证撤离,护卫者,,待机,护卫者*3|猎鸥*9
355,内部现象,胡蜂,,待机,巡游者*20|胡蜂*8
356,内部现象,龙骑兵,,待机,切割者*12|龙骑兵*3
357,内部现象,龙骑兵,,待机,劫豹*1|猎鸥*6|胡蜂*4|龙骑兵*3
358,内部现象,护卫者,,待机,护卫者*8|胡蜂*12
359,内部现象,胡蜂,,待机,劫豹*1|猎鸥*2|胡蜂*16
360,内部现象,切割者,,待机,切割者*15
361,内部现象,猎鸥,,待机,切割者*12|劫豹*1|猎鸥*5
362,内部现象,护卫者,,待机,劫豹*1|护卫者*4|猎鸥*6
363,内部现象,胡蜂,,待机,切割者*12|胡蜂*8
364,内部现象,龙骑兵,,待机,护卫者*4|猎鸥*9|龙骑兵*3
365,内部现象,胡蜂,,待机,侦查者*10|劫豹*1|胡蜂*6
366,追击密令,胡蜂,,待机,切割者*9|胡蜂*9
367,追击密令,切割者,,待机,切割者*12|巡游者*20
368,追击密令,胡蜂,,待机,侦查者*20|胡蜂*9
369,追击密令,护卫者,,待机,护卫者*4|胡蜂*12
370,追击密令,龙骑兵,,待机,劫豹*1|猎鸥*6|龙骑兵*8
371,追击密令,猎鸥,,待机,切割者*12|猎鸥*8
372,追击密令,护卫者,,待机,切割者*12|护卫者*4
373,追击密令,胡蜂,,待机,胡蜂*15
374,追击密令,猎鸥,,待机,切割者*12|猎鸥*8
375,追击密令,胡蜂,,待机,护卫者*8|胡蜂*8
376,追击密令,胡蜂,,待机,切割者*8|胡蜂*8
377,追击密令,破坏者,,待机,护卫者*2|猎鸥*4|破坏者*1
378,谜题破解Ⅰ,侦查者,,待机,侦查者*32
379,谜题破解Ⅰ,胡蜂,,待机,切割者*12|胡蜂*12
380,谜题破解Ⅰ,护卫者,,待机,护卫者*6|猎鸥*6|胡蜂*9
381,谜题破解Ⅰ,护卫者,,待机,护卫者*8|胡蜂*12
382,谜题破解Ⅰ,切割者,,待机,切割者*9|巡游者*15|胡蜂*6
383,谜题破解Ⅰ,切割者,,待机,切割者*20
384,谜题破解Ⅰ,护卫者,,待机,劫豹*1|护卫者*8|胡蜂*6
385,谜题破解Ⅰ,猎鸥,,待机,猎鸥*12|胡蜂*12
386,谜题破解Ⅰ,护卫者,,待机,劫豹*1|护卫者*12|猎鸥*6
387,谜题破解Ⅰ,胡蜂,,待机,劫豹*1|猎鸥*8|胡蜂*15
388,谜题破解Ⅱ,切割者,,待机,切割者*20
389,谜题破解Ⅱ,龙骑兵,,待机,猎鸥*8|龙骑兵*10
390,谜题破解Ⅱ,护卫者,,待机,护卫者*8|猎鸥*8
391,谜题破解Ⅱ,护卫者,,待机,护卫者*8|胡蜂*12
392,谜题破解Ⅱ,胡蜂,,待机,切割者*8|胡蜂*10
393,谜题破解Ⅱ,猎鸥,,待机,切割者*12|猎鸥*8
394,谜题破解Ⅱ,猎鸥,,待机,劫豹*1|猎鸥*4|胡蜂*12
395,谜题破解Ⅱ,猎鸥,,待机,切割者*6|猎鸥*6|胡蜂*9
396,谜题破解Ⅱ,护卫者,,待机,护卫者*6|猎鸥*9
397,谜题破解Ⅱ,护卫者,,待机,护卫者*4|猎鸥*8
398,谜题破解Ⅱ,护卫者,,待机,劫豹*1|护卫者*8|猎鸥*9
399,谜题破解Ⅱ,龙骑兵,,待机,猎鸥*12|龙骑兵*12
400,谜题破解Ⅲ,切割者,,待机,切割者*20
401,谜题破解Ⅲ,胡蜂,,待机,切割者*9|猎鸥*9|胡蜂*9
402,谜题破解Ⅲ,胡蜂,,待机,切割者*12|胡蜂*12
403,谜题破解Ⅲ,胡蜂,,待机,胡蜂*15
404,谜题破解Ⅲ,护卫者,,待机,护卫者*12|猎鸥*12
405,谜题破解Ⅲ,龙骑兵,,待机,猎鸥*12|龙骑兵*12
406,谜题破解Ⅲ,护卫者,,待机,切割者*6|劫豹*1|护卫者*6|猎鸥*6
407,谜题破解Ⅲ,龙骑兵,,待机,胡蜂*12|龙骑兵*12
408,谜题破解Ⅲ,切割者,,待机,切割者*25
409,谜题破解Ⅲ,护卫者,,待机,劫豹*1|护卫者*8|猎鸥*6|胡蜂*8
410,谜题破解Ⅳ,胡蜂,,待机,胡蜂*20
411,谜题破解Ⅳ,猎鸥,,待机,猎鸥*12|胡蜂*12
412,谜题破解Ⅳ,护卫者,,待机,劫豹*1|护卫者*8|猎鸥*12
413,谜题破解Ⅳ,破坏者,,待机,护卫者*4|猎鸥*6|破坏者*1
414,谜题破解Ⅳ,猎鸥,,待机,猎鸥*20
415,谜题破解Ⅳ,护卫者,,待机,护卫者*8|胡蜂*16
416,谜题破解Ⅳ,猎鸥,,待机,巡游者*20|猎鸥*12
417,谜题破解Ⅳ,猎鸥,,待机,切割者*15|猎鸥*6
418,谜题破解Ⅳ,护卫者,,待机,护卫者*12|猎鸥*12
419,谜题破解Ⅳ,龙骑兵,,待机,猎鸥*15|龙骑兵*6
420,谜题破解Ⅳ,切割者,,待机,侦查者*10|切割者*20|巡游者*15
421,谜题破解Ⅳ,护卫者,,待机,护卫者*12|胡蜂*12
422,谜题破解Ⅳ,猎鸥,,待机,猎鸥*12|胡蜂*12
423,谜题破解Ⅳ,龙骑兵,,待机,龙骑兵*15
424,经验特训Ⅰ,切割者,,待机,切割者*8
425,,胡蜂,,待机,胡蜂*8
